STUDENT_ID      SCORE      PR             Z-SCORE   
ABC000013       72.5       PR 98          2.37      
ABC000030       70.5       PR 97          2.25      
ABC000024       68.5       PR 96          2.14      
ABC000011       66.5       PR 94          2.03      
ABC000020       62.0       PR 93          1.77      
ABC000019       61.0       PR 92          1.72      
ABC000034       60.5       PR 91          1.69      
ABC000027       55.0       PR 89          1.38      
ABC000059       54.0       PR 88          1.32      
ABC000018       53.0       PR 87          1.26      
ABC000058       52.0       PR 85          1.21      
ABC000073       52.0       PR 85          1.21      
ABC000047       51.5       PR 83          1.18      
ABC000043       51.0       PR 82          1.15      
ABC000029       50.5       PR 80          1.12      
ABC000072       48.0       PR 79          0.98      
ABC000028       46.0       PR 78          0.87      
ABC000051       45.5       PR 76          0.84      
ABC000025       45.0       PR 75          0.81      
ABC000040       42.0       PR 74          0.64      
ABC000041       42.0       PR 74          0.64      
ABC000066       41.5       PR 71          0.61      Q1(75%)   
ABC000056       40.5       PR 70          0.56      
ABC000055       39.5       PR 69          0.50      
ABC000074       39.0       PR 67          0.47      
ABC000070       38.0       PR 66          0.41      
ABC000057       37.0       PR 65          0.36      
ABC000045       36.5       PR 64          0.33      
ABC000016       34.0       PR 62          0.19      
ABC000035       34.0       PR 62          0.19      
ABC000062       33.0       PR 60          0.13      
ABC000037       32.5       PR 58          0.10      
ABC000014       32.0       PR 57          0.07      
ABC000042       32.0       PR 57          0.07      
ABC000079       31.0       PR 55          0.02      
ABC000026       30.5       PR 53         -0.01      
ABC000064       29.5       PR 52         -0.07      
ABC000015       29.0       PR 51         -0.10      
ABC000017       28.5       PR 50         -0.12      
ABC000001       28.0       PR 48         -0.15      
ABC000005       27.5       PR 47         -0.18      
ABC000010       27.5       PR 47         -0.18      Q2(50% Median)
ABC000036       27.5       PR 47         -0.18      
ABC000061       27.5       PR 47         -0.18      
ABC000049       27.0       PR 42         -0.21      
ABC000067       27.0       PR 42         -0.21      
ABC000050       26.5       PR 39         -0.24      
ABC000078       26.0       PR 38         -0.27      
ABC000038       24.5       PR 37         -0.35      
ABC000032       24.0       PR 35         -0.38      
ABC000033       24.0       PR 35         -0.38      
ABC000044       24.0       PR 35         -0.38      
ABC000075       23.0       PR 32         -0.44      
ABC000012       22.5       PR 30         -0.46      
ABC000022       22.0       PR 29         -0.49      
ABC000046       21.5       PR 28         -0.52      
ABC000063       21.5       PR 28         -0.52      
ABC000071       21.0       PR 25         -0.55      
ABC000009       20.0       PR 24         -0.61      
ABC000003       19.5       PR 23         -0.63      
ABC000060       19.5       PR 23         -0.63      
ABC000080       18.0       PR 20         -0.72      Q3(25%)   
ABC000004       17.5       PR 19         -0.75      
ABC000052       16.5       PR 17         -0.80      
ABC000048       16.0       PR 16         -0.83      
ABC000077       12.5       PR 15         -1.03      
ABC000002       12.0       PR 14         -1.06      
ABC000007       12.0       PR 14         -1.06      
ABC000039       12.0       PR 14         -1.06      
ABC000069       11.5       PR 10         -1.09      
ABC000023       11.0       PR 8          -1.11      
ABC000031       10.0       PR 7          -1.17      
ABC000065       10.0       PR 7          -1.17      
ABC000076       10.0       PR 7          -1.17      
ABC000021       9.0        PR 3          -1.23      
ABC000068       5.0        PR 2          -1.45      
ABC000081       4.0        PR 1          -1.51      
ABC000006       0.0        PR 0          -1.74      
ABC000008       0.0        PR 0          -1.74      
ABC000053       0.0        PR 0          -1.74      
ABC000054       0.0        PR 0          -1.74      

Arithmetic Average  : 30.685
Q1(75%)             : 41.500
Q2(50% Median)      : 27.500
Q3(25%)             : 18.000
Standard Deviation  : 17.657
